REMUNERAÃ.Ã.O.BÃ.SICA.BRUTA..R..,count
"5662,26",1
"15019,50",1
"17448,11",1
"25866,01",1
"21100,33",1
"23371,13",1
"4351,55",1
"5038,75",1
"8654,46",1
"7569,58",1
"11045,79",1
"9747,88",1
"6394,01",1
"10408,53",1
"16283,73",1
"6850,50",1
"7443,69",1
"26134,34",1
"8337,44",1
"23629,78",1
"5787,23",1
"7073,50",1
"14297,89",1
"22532,18",1
"23667,62",1
"12367,09",1
"24878,78",1
"26021,50",1
"5159,69",1
"3887,04",1
"3080,49",1
"4648,38",1
"7424,12",1
"4262,89",1
"11611,39",1
"220,37",1
"14271,08",1
"7104,49",1
"5817,74",1
"8734,70",1
"5974,51",1
"1665,03",1
"5349,33",1
"10998,18",1
"4653,25",1
"12611,40",1
"7330,20",1
"5947,72",1
"27826,84",1
"20614,20",1
"11962,19",1
"4359,78",1
"8666,96",1
"7493,31",1
"3690,96",1
"5740,87",1
"9677,57",1
"14063,48",1
"13204,73",1
"4689,46",1
"7467,48",1
"26288,53",1
"7894,56",1
"13098,66",1
"3596,29",1
"4811,06",1
"11854,06",1
"9611,95",1
"12690,43",1
"10567,84",1
"5877,01",1
"4462,44",1
"5890,65",1
"4878,79",1
"26856,33",1
"3263,66",1
"3939,94",1
"9293,32",1
"9498,62",1
"6500,69",1
"19667,11",1
"11719,01",1
"6374,06",1
"17113,39",1
"3356,91",1
"9693,01",1
"5484,78",1
"2933,90",1
"23005,29",1
"17808,02",1
"9143,51",1
"19071,04",1
"9342,65",1
"11132,80",1
"24257,37",1
"27165,50",1
"7391,37",1
"6542,91",1
"13185,98",1
"9592,63",1
"25077,03",1
"6898,17",1
"4818,03",1
"10499,27",1
"8653,37",1
"4662,37",1
"6869,83",1
"6790,25",1
"6230,28",1
"17780,81",1
"4818,34",1
"16977,23",1
"13036,65",1
"7348,85",1
"17319,51",1
"5730,49",1
"6144,15",1
"21762,67",1
"7426,37",1
"19244,35",1
"5167,33",1
"20510,07",1
"13972,45",1
"3854,09",1
"20485,99",1
"20733,20",1
"24046,12",1
"15410,25",1
"4727,78",1
"3237,07",1
"7439,97",1
"10369,10",1
"10643,38",1
"5349,07",1
"8366,67",1
"13097,85",1
"13687,69",1
"5228,76",1
"5804,89",1
"3657,94",1
"8934,52",1
"10195,32",1
"10345,38",1
"20774,01",1
"5576,00",1
"22306,54",1
"7753,29",1
"5369,82",1
"4288,11",1
"8385,18",1
"7490,35",1
"8111,52",1
"10290,34",1
"6397,98",1
"10776,25",1
"23367,04",1
"4668,18",1
"5554,68",1
"26080,35",1
"8031,49",1
"23992,53",1
"8539,47",1
"10059,53",1
"5496,30",1
"4796,82",1
"7809,29",1
"5850,22",1
"5972,47",1
"23940,59",1
"9280,58",1
"15877,78",1
"6581,14",1
"7969,13",1
"8372,98",1
"4253,38",1
"6835,38",1
"11037,69",1
"7687,89",1
"7723,44",1
"3327,30",1
"5332,42",1
"17783,11",1
"16389,10",1
"7495,66",1
"7625,96",1
"5419,07",1
"6227,19",1
"12838,53",1
"16860,60",1
